"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","gp_index_crops","gp_index_crops_lives_products","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Abaca","","World","2010",162997,101610,11161,14231,12279,13692,NA,NA,NA,NA,85.089464,3.48238564983483e-05,1.84803213622608e-05,NA,0.000121469665158673,0.000174773843019282
"Abaca","","World","2011",168175,104647,10801,16439,10525,13444,NA,NA,NA,NA,105.500519,3.59195566890804e-05,1.90916267380375e-05,NA,0.000150684199326818,0.000205695382753936
"Abaca","","World","2012",167961,104761,6161,10209,10108,5580,NA,NA,NA,NA,113.747981,3.58900164417859e-05,1.08744737022681e-05,NA,0.000162488868923734,0.000209253359067788
"Abaca","","World","2013",168716,102039,7974,12493,6070,9021,NA,NA,NA,NA,106.653883,3.58417521508838e-05,1.34974130645281e-05,NA,0.000152335020021109,0.000201674185236521
"Adlay","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,0.00116107933948392,NA,0.00195703694292231,0.00224443477084373,0.00536255105324996
"Adlay","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,0.000977708263830056,NA,0.00208164261765611,0.00170038453156487,0.00475973541305103
"Adlay","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,0.00104334557583784,NA,0.00190528451777954,0.00255149377213279,0.00550012386575017
"Adlay","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,0.00114148478800883,NA,NA,0.00283465999060318,0.00397614477861201
"Adzuki bean","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.00867915534371968,0.00527379526002276,0.0110374507356907,0.0483617085677998,0.073352109907233
"Adzuki bean","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.00861029414767369,0.00614435510058324,0.0107833362587814,0.0599263794136867,0.085464364920725
"Adzuki bean","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.00844398087915284,0.00631809650713391,0.0103777688567522,0.0545522299109133,0.0796920761539522
"Adzuki bean","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,0.00851312737028684,0.00621980177485219,NA,0.0588102195849856,0.0735431487301246
"Agave","","World","2010",56365,44701,NA,NA,NA,NA,NA,NA,NA,NA,25.493216,1.26300462418582e-05,NA,NA,3.6168997285833e-05,4.87990435276912e-05
"Agave","","World","2011",56465,43750,NA,NA,NA,NA,NA,NA,NA,NA,27.706216,1.25848413302126e-05,NA,NA,3.93364849102652e-05,5.19213262404779e-05
"Agave","","World","2012",54840,40965,NA,NA,NA,NA,NA,NA,NA,NA,24.933796,1.21205669737977e-05,NA,NA,3.53682942009438e-05,4.74888611747415e-05
"Agave","","World","2013",54880,41465,NA,NA,NA,NA,NA,NA,NA,NA,21.819912,1.21603547212549e-05,NA,NA,3.09113628706602e-05,4.30717175919151e-05
"Albardine","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,8.31460292778092e-05,NA,NA,0.00011979789152659,0.000202943920804399
"Albardine","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,8.46795456668616e-05,NA,NA,0.000146107169690348,0.000230786715357209
"Albardine","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,8.59456444038004e-05,NA,NA,0.000133516477948698,0.000219462122352498
"Albardine","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,8.57539534196683e-05,NA,NA,0.000127614373591048,0.000213368327010716
"Alfalfa","","World","2010",NA,NA,1391220,386515,1307714,326427,NA,NA,NA,NA,NA,NA,0.000828113040532983,NA,NA,0.000828113040532983
"Alfalfa","","World","2011",NA,NA,1493263,391822,1359116,339904,NA,NA,NA,NA,NA,NA,0.00086415605009706,NA,NA,0.00086415605009706
"Alfalfa","","World","2012",NA,NA,1752045,512463,1693467,470072,NA,NA,NA,NA,NA,NA,0.00109543268973634,NA,NA,0.00109543268973634
"Alfalfa","","World","2013",NA,NA,1327136,395460,1248773,350993,NA,NA,NA,NA,NA,NA,0.000824912123914206,NA,NA,0.000824912123914206
"Allspice","","World","2010",3528625,32763720,3150865,5445416,3162387,5167389,1.18,3,0.14,0.15,29790.132371,0.00276417826248523,0.00658143396024265,0.00206456528541824,0.0426385757614763,0.0540487532696224
"Allspice","","World","2011",3560014,33429988,3239532,5891003,3325048,5703570,1.23,4,0.15,0.16,32519.391853,0.00281340482849661,0.00713595314661235,0.00229013907760168,0.0465449904171922,0.0587844874699029
"Allspice","","World","2012",3649905,34278830,3474033,5845819,3569815,5764959,1.21,4,0.15,0.15,31434.918417,0.00288475621204419,0.00722795204280513,0.00222403605754555,0.044992773432305,0.0573295177446998
"Allspice","","World","2013",3608628,34839222,3490853,6323382,3584091,6190515,NA,NA,NA,NA,34179.904516,0.00291444826920143,0.00770140480879773,NA,0.0489216977422105,0.0595375508202097
"Almonds","","World","2010",1719675,2570069,524394,2468098,559444,2628845,6.02,15,0.4,1.15,7499.215269,0.000466468196969255,0.00283540107317944,0.0116592407274172,0.0107333773620955,0.0256944873596614
"Almonds","","World","2011",1732339,3021249,575939,2854492,627818,3066105,6.34,16,0.42,1.24,10256.29204,0.000498316339572906,0.00328469001641125,0.0124759456850357,0.0146796071640621,0.030938559205082
"Almonds","","World","2012",1767465,2825751,623293,3343982,657281,3564454,6.39,16,0.42,1.23,11556.097624,0.000491544731435629,0.00381114332704865,0.0124246190767602,0.0165400310689369,0.0332673382041814
"Almonds","","World","2013",1823264,2840508,620935,4245830,687715,4669085,NA,NA,NA,NA,14858.618026,0.000502170977603041,0.00486231427513146,NA,0.0212669594479563,0.0266314447006908
"Amaranth","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,0.00116107933948392,NA,0.00195703694292231,0.00224443477084373,0.00536255105324996
"Amaranth","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,0.000977708263830056,NA,0.00208164261765611,0.00170038453156487,0.00475973541305103
"Amaranth","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,0.00104334557583784,NA,0.00190528451777954,0.00255149377213279,0.00550012386575017
"Amaranth","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,0.00114148478800883,NA,NA,0.00283465999060318,0.00397614477861201
"Anise","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.000217522420732883,0.000616020706362748,0.00279491119491948,0.00245830156146978,0.00608675588348489
"Anise","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.000249918051221038,0.000728844461740995,0.00331217013458081,0.00289151730091188,0.00718244994845472
"Anise","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.000240802797022728,0.000722681488825009,0.0032625286254067,0.00251621041326086,0.0067422233245153
"Anise","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,0.000232453815224914,0.000918845790088444,NA,0.00245376581365801,0.00360506541897137
"Apple","","World","2010",4886406,71192145,8302899,6668145,8594174,6479142,25.05,10,0.06,0.05,65738.903597,0.00552509287302103,0.00969910034940764,0.00697017205100159,0.0940923886724119,0.116286753945842
"Apple","","World","2011",4987857,77072356,8095873,7182225,8262926,7149600,25.71,11,0.06,0.06,48903.580506,0.00592916247734631,0.0102261595124531,0.00728542478794228,0.0699958330718422,0.093436579849584
"Apple","","World","2012",5075039,78625948,8386623,7504849,8280054,7182023,26.99,11,0.07,0.06,63553.128713,0.00604636909114925,0.0104574147049974,0.00759470896126122,0.0909638686114698,0.115062361368878
"Apple","","World","2013",5160561,82820750,8613231,8476782,8584796,8028152,NA,NA,NA,NA,52574.852995,0.00633689822863349,0.0114897370694294,NA,0.0752505597662959,0.0930771950643588
"Apricot","","World","2010",564663,3305516,362959,836224,373531,815358,65.96,28,0.34,0.33,2922.525413,0.000314930299626174,0.000982828917332735,0.0204859562753971,0.00418271831114901,0.025966433803505
"Apricot","","World","2011",536421,3818558,396574,888738,389398,856684,68.08,29,0.35,0.34,3323.407202,0.000343765747951863,0.0010397848982663,0.0211484896730925,0.00475650416994601,0.0272885444892567
"Apricot","","World","2012",532322,3865025,483762,860904,473510,834068,70.36,30,0.36,0.35,3182.899767,0.000346110728525941,0.00104280325321952,0.0218447977262865,0.00455539456239824,0.0277891062704302
"Apricot","","World","2013",558924,4093243,502358,971152,505747,943760,NA,NA,NA,NA,3231.642382,0.000365715350002306,0.00116568906664364,NA,0.00462516032371544,0.00615656474036139
"Areca nuts","","World","2010",871949,1081604,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1520.695727,0.00022192712077196,0.00152088243235865,0.0116592407274172,0.00217626635364033,0.0155783166341882
"Areca nuts","","World","2011",879009,1096126,430906,1846159,307097,1490357,6.34,16,0.42,1.24,1646.416713,0.000224103431329861,0.00185192535727605,0.0124759456850357,0.00235621197826139,0.016908186451903
"Areca nuts","","World","2012",992815,1340932,458584,2030043,349900,1618078,6.39,16,0.42,1.23,2290.796347,0.000259889419962176,0.0020246739559935,0.0124246190767602,0.00327851858292979,0.0179877010356457
"Areca nuts","","World","2013",902648,1166166,392896,2007377,310183,1603948,NA,NA,NA,NA,1816.101076,0.000232798069983395,0.00198778796809004,NA,0.00259908279609337,0.00481966883416681
